time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.1917825293099236e-07,3.6149169333943256e-07,10.00389394067832,0.0003180963908162582,6.28270006235082,0.0,8.406388414701737e-06,3.076944344704399e-05,0.1297913359799516,0.014220182075485244,-0.03375972288836722,0.0,447.8015415929146,445.0474019846304,445.4970020708868,446.6579398773848
0.12000000000000001,1.956213746385618e-05,1.297853262439576e-05,10.016787734871913,0.0010751346448598653,6.280169384288152,0.0,0.0008947975622241613,0.00048052184168816657,0.29997143679255045,0.009201733805912556,-0.06987794875736857,0.0,460.19993482763226,457.33133093831833,458.75007099111497,458.35135760853944
0.18,0.0001555166793845204,6.766850346972131e-05,10.038795823795462,0.0019342311126067102,6.275763091788608,0.0,0.0040956066069429975,0.0014196054538860442,0.43358750659968626,0.0229711133681653,-0.08172358618628953,0.0,447.79635559073324,446.8276446297034,447.2395455962585,448.3593465542357
0.23999999999999996,0.0006198525314101861,0.00021049887322066664,10.073421070162082,0.003436407861561186,6.271037842852548,0.0,0.01200467205919475,0.0035282318606812205,0.7204448631627488,0.028875603448962877,-0.07339647189846071,0.0,491.88714236708324,492.49899764752166,493.3561193094353,493.7918486324235
0.3,0.0015893758625900177,0.0004944170452308922,10.118235284493794,0.004949277272223718,6.2668922288294695,0.0,0.020717438968428273,0.006090941606322717,0.7733214370980744,0.01664723187200623,-0.06164309702979581,0.0,421.7816876741565,422.79144613505326,422.74238948802923,421.6876699010121
0.36000000000000004,0.003253372433324946,0.0009877000298090786,10.17179198914148,0.0062681285511949625,6.263502627535976,0.0,0.03517818372566854,0.01049488207374302,1.0117131176189782,0.030943918734505547,-0.04779560761703887,0.0,478.2249096873281,479.2763903193104,479.6606753468436,480.74501248157884
0.4200000000000001,0.005858024431109507,0.0017792499051607984,10.239266666233396,0.008392090790034779,6.260520738549602,0.0,0.05199140379724618,0.016130081500781948,1.2372168273545148,0.0430809674176901,-0.053802540120982345,0.0,477.7906400771246,477.331137455694,474.2655892631317,475.19721849742973
0.48000000000000015,0.009512544245460152,0.002951287497542821,10.31883373312915,0.011220250874181659,6.257065205999137,0.0,0.07019879852437237,0.023244243571580503,1.4148032934806294,0.05421130849825368,-0.06651460555054084,0.0,462.8690614014117,461.8654645288515,462.09567227070664,462.97336852747486
0.5400000000000001,0.014289288039800256,0.004594568608863447,10.407090901268363,0.014508454605493881,6.252646238875656,0.0,0.08945172228355416,0.03186940492448625,1.5269419876206736,0.05596157860594891,-0.0943780714568282,0.0,443.41915140234346,441.1198143274837,443.2944566314676,443.4402635490558
0.6000000000000002,0.020308543853731188,0.006819314867390523,10.501690636502556,0.018119167527038904,6.246560520522934,0.0,0.11177781443978811,0.042642526952545404,1.6262198690145728,0.06749969002732326,-0.12176493147355563,0.0,440.951494311302,438.6739029461028,437.949957785972,438.91110324314076
0.6600000000000003,0.027782075518653217,0.00975874736362088,10.601786153121363,0.02224589777875252,6.238984332827931,0.0,0.1380743264609344,0.05574298697536808,1.7101359427323282,0.07122046948152748,-0.13727290001898348,0.0,435.2272940297124,433.91235911484597,434.4712215515903,434.78673184248134
0.7200000000000003,0.03690473915311246,0.013525507479256363,10.705052901278002,0.026705012784884907,6.23071545030338,0.0,0.1667589729519424,0.07020938542638498,1.7320080673936633,0.0798857725255888,-0.138919672117359,0.0,415.1347699618537,414.97117802486764,413.8109465092133,414.57770965431
0.7800000000000004,0.04820752792881071,0.01840026492158466,10.8153122568485,0.03141188968241515,6.221863971556822,0.0,0.21098558864688982,0.09283403863814263,1.942891871088841,0.07540693062323203,-0.17642586540326302,0.0,474.31017151278195,471.400881601535,475.4935143499099,475.15477005264614
0.8400000000000004,0.06222683666215437,0.024662774066955113,10.935693151359656,0.03597628957468668,6.211572549556685,0.0,0.2574142391712943,0.11638774816549419,2.069487705444835,0.07737315012393092,-0.16319163128466802,0.0,448.32420151078924,449.370073521679,450.12531949753566,450.28888239885845
0.9000000000000005,0.07940830664568009,0.032516096547473713,11.065803271850491,0.04098889123566796,6.201519093633662,0.0,0.3164258901857331,0.1459365957343467,2.267024954537249,0.09366495296242858,-0.17813689136893662,0.0,472.97175755333836,471.794095438617,470.4136484389599,471.67862776364626
0.9600000000000005,0.10016323649135407,0.04215952019449755,11.205262616341786,0.046806422973071804,6.190378210592039,0.0,0.3765121535489671,0.17609199873704678,2.381249986445529,0.10284039865384942,-0.20834068794004895,0.0,449.4246083256517,446.9356415992723,446.2851210847012,447.04133013848815
1.0200000000000005,0.12456702271773415,0.05363615709148433,11.349470667490037,0.05299265553313681,6.177741204871852,0.0,0.4381139259855013,0.20703022155504094,2.425428391529471,0.10362526334428745,-0.2155993065313281,0.0,425.0922076589046,424.42370507098616,426.79420952117533,426.8709124803244
1.0800000000000005,0.1529621690524697,0.06711295770520413,11.49679792152737,0.059741299888083965,6.1648648088855005,0.0,0.5096128450786198,0.24280650534438836,2.485153229297247,0.1259973459133812,-0.21269501042133937,0.0,431.34252031795324,431.5407274108974,430.5765349675899,432.4763853961263
1.1400000000000006,0.18622194879562884,0.0830337446082855,11.650348979049788,0.06700250466774538,6.151651062253475,0.0,0.6004084809145495,0.28866285690326976,2.632623505306774,0.10853613418155944,-0.24282387377450532,0.0,460.1033769142303,457.66422615146905,461.6072736151984,460.239826452029
